record_id,company_ticker,company_name,isin,shareholder_name,ownership_pct,shares_held,filing_type,filing_date,source,currency,has_error,error_type
REC00001,AAPL,Apple Inc.,US0378331005,BlackRock Inc.,10.0748,381959081,Quarterly Report,2025-08-09,TSX Filing,USD,False,
REC00002,AAPL,Apple Inc.,US0378331005,Northern Trust Corp.,2.3468,82862617,13F Filing,2026-03-16,LSE Filing,USD,False,
REC00003,AAPL,Apple Inc.,US0378331005,Geode Capital Management,6.1459,245742943,Quarterly Report,2025-04-08,SEBI Submission,USD,False,
REC00004,AAPL,Apple Inc.,US0378331005,Norges Bank Investment,1.8597,31015693,Exchange Notification,2025-04-12,SEC EDGAR,USD,False,
REC00005,AAPL,Apple Inc.,US0378331005,Capital Group,4.6516,0,Quarterly Report,2025-12-13,SEBI Submission,USD,True,ZERO_SHARES
REC00006,AAPL,Apple Inc.,US0378331005,Goldman Sachs Group,10.2074,473619337,13F Filing,2024-07-12,SEBI Submission,USD,False,
REC00007,AAPL,Apple Inc.,US0378331005,Vanguard Group,2.0326,90787899,Annual Report,2024-12-07,ASX Notification,USD,False,
REC00008,AAPL,Apple Inc.,US0378331005,Morgan Stanley,7.4334,114186262,Quarterly Report,2026-01-01,ASX Notification,USD,False,
REC00009,AAPL,Apple Inc.,US0378331005,Bank of America Corp.,55.2478,1248153383,13F Filing,2024-08-08,LSE Filing,USD,False,
REC00010,MSFT,Microsoft Corp.,US5949181045,Vanguard Group,5.8578,218332564,Exchange Notification,2024-09-22,LSE Filing,USD,False,
REC00011,MSFT,Microsoft Corp.,,Geode Capital Management,10.0645,171278503,Quarterly Report,2025-02-27,SEBI Submission,USD,True,NULL_ISIN
REC00012,MSFT,Microsoft Corp.,US5949181045,Invesco Ltd.,3.2097,159667323,Exchange Notification,2024-04-20,SEBI Submission,USD,False,
REC00013,MSFT,Microsoft Corp.,US5949181045,State Street Corp.,5.7554,265900712,Annual Report,2025-07-31,SEC EDGAR,USD,False,
